Sample #,# of round-trip trades ,total return % ,winning trades % ,average losing amount ,kelly criterion ,t-statistic ,max drawdown ,mean ,max ,min ,wtd% ,mtd% ,qtd% ,ytd% ,52wk %chg
412,10,0.150002,60%,-2.955,0.735364,0.0166223,13.2799,59.0337,82.0452,41.3867,0.938596,1.13189,1.1141,1.14233,1.25279
413,11,29.58,63.6364%,-1.5975,0.863992,1.46762,10.6171,84.2085,105.95,60.6322,1.06357,1.04663,1.01236,1.20288,0.990582
414,10,12.36,60%,-2.17,0.784332,1.11106,26.9009,55.7213,72.4724,37.6551,0.978828,0.843387,0.794044,0.82437,0.737962
415,10,-3,60%,-3.93,0.701781,-0.261509,40.215,45.217,72.3536,28.5084,0.965624,0.960802,0.896242,0.882746,0.678692
416,8,3.91,37.5%,-2.048,0.680176,0.318451,34.7778,56.1341,84.3808,39.4491,0.957672,1.02384,0.998446,1.02863,1.08393
417,14,14.3,57.1429%,-1.24333,0.916124,1.64843,77.2583,55.0478,103.815,26.557,0.947065,0.917262,0.782078,0.767863,0.592617
418,9,9.37999,44.4444%,-1.692,0.772787,0.944724,43.0427,70.8444,98.1463,46.472,1.07425,0.954171,0.772089,0.930978,0.589541
419,12,28.08,58.3333%,-2.822,0.730983,1.25308,49.7033,37.9207,71.9046,19.687,0.954384,0.948536,1.07361,0.803547,0.559357
420,10,-2.05,40%,-2.685,0.623464,-0.174815,69.5792,81.2416,115.008,43.3525,1.04789,0.805646,0.708888,0.70745,0.476943
421,11,29.5,63.6364%,-2.3725,0.789635,1.40505,50.2193,87.6601,126.792,57.504,0.995309,1.0274,0.846392,1.11988,0.71828
422,7,15.06,57.1429%,-2.75,0.727273,0.814279,4.96496,80.9254,113.732,56.0236,0.993138,1.00116,1.34138,0.972316,1.40185
423,11,26.47,63.6364%,-0.815,1.08254,2.13699,30.1535,52.2924,72.92,38.3643,1.05395,1.0218,0.925753,1.01099,0.745165
424,9,26.79,55.5556%,-3.7825,0.673056,1.172,6.93431,53.2839,69.3369,31.2377,0.930848,1.0369,1.3199,1.17865,1.2299
425,8,17.02,62.5%,-1.96,0.816326,1.29694,38.8809,47.5712,68.6091,26.6004,1.04172,0.927002,0.735661,0.793925,0.598521
426,11,4.88999,54.5455%,-2.982,0.697884,0.360177,23.5673,91.2222,138.823,55.323,1.02765,1.00383,0.83507,1.05482,0.992895
427,10,17.96,80%,-5.39,0.837106,1.22645,35.0663,71.1857,95.7055,49.3892,0.982523,1.00537,1.11176,1.08651,0.693208
428,10,13.15,70%,-2.22333,0.834933,1.5096,48.0197,43.5469,68.7708,19.9301,0.95964,0.916022,0.653855,0.815264,0.453058
429,10,28.91,70%,-3.14,0.795541,1.52905,78.245,80.3967,120.878,38.8434,0.981638,1.04737,0.730056,0.903357,0.481322
430,9,2.78,55.5556%,-3.64,0.677656,0.211301,30.2913,40.5726,70.3151,21.8905,1.10591,1.07501,0.885236,1.00917,1.64249
431,13,10.93,53.8462%,-3.105,0.687105,0.612553,58.9742,28.4639,69.8772,10.117,0.994852,1.04255,0.908159,0.985231,0.510627
432,7,-6.52999,42.8571%,-4.0225,0.57063,-0.629415,25.8537,60.8308,91.2123,38.7639,1.00081,1.21025,1.00009,1.05333,1.33387
433,9,-1.54,44.4444%,-2.394,0.676506,-0.162579,69.3948,67.0351,105.353,34.3913,1.03016,0.816448,0.753572,0.738229,0.536041
434,13,21.77,76.9231%,-3.23667,0.840529,1.60845,16.6955,62.7656,90.8591,37.3303,0.9555,0.959784,0.924359,1.01059,1.46274
435,9,7.87001,66.6667%,-2.43333,0.803653,0.764206,34.3198,52.1953,68.8581,32.0661,0.957278,0.958419,1.01192,0.880089,0.551235
436,13,0.109997,46.1538%,-2.13857,0.713324,0.00861392,29.9213,50.7113,72.9219,32.6173,1.01815,0.986573,1.21494,0.965066,0.855311
437,8,19.78,62.5%,-2.74333,0.761695,1.50259,26.8584,72.6711,109.318,47.1999,0.925947,0.978785,0.942344,0.839593,1.04465
