Date,Open,High,Low,Close,Volume,Adj Close,SMA(5),SMA(20),SMA(50),Diff 5-20,Diff 5-50,Signal,,Action ,Return
3/28/2012,49.75,49.79,48.3,48.96,5563000,48.4,49.056,49.577,51.863,-0.521,-2.807,SELL,,,
3/29/2012,48.63,49.78,48.1,49.68,5171600,49.11,49.162,49.446,51.8022,-0.284,-2.6402,SELL,,,
3/30/2012,50.14,50.24,48.96,49.72,2862300,49.15,49.128,49.3665,51.7376,-0.2385,-2.6096,SELL,,,
4/2/2012,49.66,51.09,49.56,50.58,3907400,50,49.194,49.4025,51.692,-0.2085,-2.498,SELL,,,
4/3/2012,50.54,50.57,48.97,49.46,5992900,48.89,49.11,49.446,51.6134,-0.336,-2.5034,SELL,,,
4/4/2012,48.5,48.96,47.91,48.27,4201400,47.72,48.974,49.426,51.508,-0.452,-2.534,SELL,,,
4/5/2012,48.12,48.93,47.55,47.72,2867100,47.17,48.586,49.3495,51.3538,-0.7635,-2.7678,SELL,,,
4/9/2012,47.07,47.97,46.94,47.46,3691000,46.92,48.14,49.203,51.2048,-1.063,-3.0648,SELL,,,
4/10/2012,47.35,47.78,46.2,46.91,5675400,46.37,47.414,49.088,51.0308,-1.674,-3.6168,SELL,,,
4/11/2012,47.71,48.21,47.18,47.32,3632900,46.78,46.992,48.925,50.8824,-1.933,-3.8904,SELL,,,
4/12/2012,47.48,49.79,47.48,49.53,5061500,48.96,47.24,48.913,50.792,-1.673,-3.552,SELL,,,
4/13/2012,49.22,49.22,48.1,48.2,5783300,47.65,47.336,48.8085,50.6596,-1.4725,-3.3236,SELL,,,
4/16/2012,48.7,49.13,47.74,48.09,3886500,47.54,47.46,48.667,50.5094,-1.207,-3.0494,SELL,,,
4/17/2012,48.59,49.76,48.43,48.95,3688200,48.39,47.864,48.526,50.3574,-0.662,-2.4934,SELL,,,
4/18/2012,48.83,49.31,48.27,48.43,3718400,47.87,48.082,48.3975,50.1986,-0.3155,-2.1166,SELL,,,
4/19/2012,48.5,49.25,47.98,48.29,4153300,47.74,47.838,48.277,50.054,-0.439,-2.216,SELL,,,
4/20/2012,48.77,49.26,47.54,47.62,4606900,47.07,47.722,48.2015,49.9012,-0.4795,-2.1792,SELL,,,
4/23/2012,46.72,46.93,45.7,46.77,5359900,46.23,47.46,48.047,49.7362,-0.587,-2.2762,SELL,,,
4/24/2012,46.84,47.73,46.46,47.06,3648300,46.52,47.086,47.8895,49.6162,-0.8035,-2.5302,SELL,,,
4/25/2012,47.81,48.41,47.38,48.24,3556800,47.69,47.05,47.8085,49.5182,-0.7585,-2.4682,SELL,,,
